Clé (Texte)            | Score Fréquence | Score Dictionnaire
-----------------------------------------------------------
q18                  | 0.27814           | 0                  
p09                  | 0.23990           | 0                  
w18                  | 0.20410           | 0                  
z18                  | 0.20326           | 0                  
q09                  | 0.19865           | 0                  
p18                  | 0.19761           | 0                  
z09                  | 0.19243           | 0                  
q98                  | 0.18942           | 0                  
q88                  | 0.18942           | 0                  
q78                  | 0.18845           | 0                  
s18                  | 0.18684           | 0                  
m18                  | 0.18636           | 0                  
f18                  | 0.18082           | 0                  
x18                  | 0.18070           | 0                  
l18                  | 0.17900           | 0                  
y09                  | 0.17858           | 0                  
q14                  | 0.17829           | 0                  
q13                  | 0.17829           | 0                  
q12                  | 0.17829           | 0                  
q11                  | 0.17829           | 0                  
q10                  | 0.17829           | 0                  
q38                  | 0.17773           | 0                  
q15                  | 0.17707           | 0                  
w09                  | 0.17658           | 0                  
u18                  | 0.17608           | 0                  
q08                  | 0.17575           | 0                  
w75                  | 0.17516           | 0                  
y18                  | 0.17470           | 0                  
l09                  | 0.17328           | 0                  
q16                  | 0.17191           | 0                  
w78                  | 0.17156           | 0                  
q19                  | 0.17122           | 0                  
q28                  | 0.16876           | 0                  
s36                  | 0.16868           | 0                  
p05                  | 0.16859           | 0                  
w77                  | 0.16793           | 0                  
q58                  | 0.16766           | 0                  
s09                  | 0.16713           | 0                  
v18                  | 0.16574           | 0                  
w76                  | 0.16524           | 0                  
w74                  | 0.16414           | 0                  
w73                  | 0.16414           | 0                  
w72                  | 0.16414           | 0                  
w71                  | 0.16414           | 0                  
w70                  | 0.16414           | 0                  
v09                  | 0.16398           | 0                  
t09                  | 0.16348           | 0                  
p99                  | 0.16318           | 0                  
p89                  | 0.16318           | 0                  
m09                  | 0.16266           | 0                  
p19                  | 0.16125           | 0                  
q17                  | 0.16120           | 0                  
j18                  | 0.16089           | 0                  
q68                  | 0.16086           | 0                  
w35                  | 0.15995           | 0                  
f09                  | 0.15915           | 0                  
p79                  | 0.15912           | 0                  
p08                  | 0.15884           | 0                  
s76                  | 0.15869           | 0                  
s38                  | 0.15737           | 0                  
w79                  | 0.15701           | 0                  
w38                  | 0.15635           | 0                  
s34                  | 0.15588           | 0                  
s33                  | 0.15588           | 0                  
s32                  | 0.15588           | 0                  
s31                  | 0.15588           | 0                  
s30                  | 0.15588           | 0                  
p49                  | 0.15455           | 0                  
w15                  | 0.15454           | 0                  
p04                  | 0.15388           | 0                  
p03                  | 0.15388           | 0                  
p02                  | 0.15388           | 0                  
p01                  | 0.15388           | 0                  
p00                  | 0.15388           | 0                  
p39                  | 0.15347           | 0                  
r18                  | 0.15320           | 0                  
w37                  | 0.15272           | 0                  
q75                  | 0.15229           | 0                  
s37                  | 0.15093           | 0                  
q48                  | 0.15090           | 0                  
s35                  | 0.15085           | 0                  
m95                  | 0.15062           | 0                  
m85                  | 0.15062           | 0                  
